LAST SEEN   TYPE      REASON              OBJECT                            MESSAGE
30m         Normal    Pulled              pod/api-66c8cd86fc-ckk4h          Container image "rsl/api:latest" already present on machine
30m         Normal    Killing             pod/api-66c8cd86fc-7745t          Stopping container api
25m         Normal    Killing             pod/api-66c8cd86fc-ckk4h          Stopping container api
25m         Normal    Started             pod/api-66c8cd86fc-9dhtb          Started container api
25m         Normal    Created             pod/api-66c8cd86fc-9dhtb          Created container api
25m         Normal    Pulled              pod/api-66c8cd86fc-9dhtb          Container image "rsl/api:latest" already present on machine
20m         Normal    Killing             pod/api-66c8cd86fc-9dhtb          Stopping container api
20m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         (combined from similar events): Created pod: api-66c8cd86fc-8gcxb
20m         Normal    Started             pod/api-66c8cd86fc-8gcxb          Started container api
20m         Normal    Created             pod/api-66c8cd86fc-8gcxb          Created container api
20m         Normal    Pulled              pod/api-66c8cd86fc-8gcxb          Container image "rsl/api:latest" already present on machine
16m         Normal    Killing             pod/api-66c8cd86fc-rtkrg          Stopping container api
16m         Normal    Killing             pod/api-66c8cd86fc-nx882          Stopping container api
16m         Normal    SuccessfulRescale   horizontalpodautoscaler/api-hpa   New size: 6; reason: All metrics below target
16m         Normal    Killing             pod/api-66c8cd86fc-mrrmj          Stopping container api
16m         Normal    ScalingReplicaSet   deployment/api                    Scaled down replica set api-66c8cd86fc to 6 from 10
16m         Normal    SuccessfulDelete    replicaset/api-66c8cd86fc         Deleted pod: api-66c8cd86fc-rtkrg
16m         Normal    Killing             pod/api-66c8cd86fc-8gcxb          Stopping container api
16m         Normal    SuccessfulRescale   horizontalpodautoscaler/api-hpa   New size: 3; reason: All metrics below target
16m         Normal    Killing             pod/api-66c8cd86fc-rpz97          Stopping container api
16m         Warning   Unhealthy           pod/api-66c8cd86fc-rpz97          Readiness probe failed: Get "http://10.42.0.65:8000/health": dial tcp 10.42.0.65:8000: connect: connection refused
16m         Normal    Killing             pod/api-66c8cd86fc-nsg2t          Stopping container api
16m         Normal    ScalingReplicaSet   deployment/api                    Scaled down replica set api-66c8cd86fc to 3 from 6
16m         Normal    Killing             pod/api-66c8cd86fc-tg2bs          Stopping container api
7m55s       Normal    KeyPairVerified     issuer/resilience-ca-issuer       Signing CA verified
2m16s       Normal    Pulled              pod/api-66c8cd86fc-h59cj          Container image "rsl/api:latest" already present on machine
2m16s       Normal    Created             pod/api-66c8cd86fc-h59cj          Created container api
2m16s       Normal    ScalingReplicaSet   deployment/api                    Scaled up replica set api-66c8cd86fc to 6 from 3
2m16s       Normal    SuccessfulRescale   horizontalpodautoscaler/api-hpa   New size: 6; reason: cpu resource utilization (percentage of request) above target
2m16s       Normal    Created             pod/api-66c8cd86fc-56nsb          Created container api
2m16s       Normal    Created             pod/api-66c8cd86fc-sltxw          Created container api
2m16s       Normal    Pulled              pod/api-66c8cd86fc-sltxw          Container image "rsl/api:latest" already present on machine
2m16s       Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-h59cj
2m16s       Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-sltxw
2m16s       Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-56nsb
2m16s       Normal    Pulled              pod/api-66c8cd86fc-56nsb          Container image "rsl/api:latest" already present on machine
2m15s       Normal    Started             pod/api-66c8cd86fc-sltxw          Started container api
2m15s       Normal    Started             pod/api-66c8cd86fc-h59cj          Started container api
2m15s       Normal    Started             pod/api-66c8cd86fc-56nsb          Started container api
2m1s        Normal    Started             pod/api-66c8cd86fc-crxwj          Started container api
2m1s        Normal    Pulled              pod/api-66c8cd86fc-crxwj          Container image "rsl/api:latest" already present on machine
2m1s        Normal    Started             pod/api-66c8cd86fc-jb4m9          Started container api
2m1s        Normal    Pulled              pod/api-66c8cd86fc-8bnps          Container image "rsl/api:latest" already present on machine
2m1s        Normal    Created             pod/api-66c8cd86fc-8bnps          Created container api
2m1s        Normal    Started             pod/api-66c8cd86fc-8bnps          Started container api
2m1s        Normal    ScalingReplicaSet   deployment/api                    Scaled up replica set api-66c8cd86fc to 10 from 6
2m1s        Normal    Created             pod/api-66c8cd86fc-cnrjj          Created container api
2m1s        Normal    Created             pod/api-66c8cd86fc-crxwj          Created container api
2m1s        Normal    Pulled              pod/api-66c8cd86fc-cnrjj          Container image "rsl/api:latest" already present on machine
2m1s        Normal    SuccessfulRescale   horizontalpodautoscaler/api-hpa   New size: 10; reason: cpu resource utilization (percentage of request) above target
2m1s        Normal    Pulled              pod/api-66c8cd86fc-jb4m9          Container image "rsl/api:latest" already present on machine
2m1s        Normal    Started             pod/api-66c8cd86fc-cnrjj          Started container api
2m1s        Normal    Created             pod/api-66c8cd86fc-jb4m9          Created container api
78s         Normal    Started             pod/api-66c8cd86fc-r5tcl          Started container api
78s         Normal    Killing             pod/api-66c8cd86fc-56nsb          Stopping container api
78s         Normal    Pulled              pod/api-66c8cd86fc-r5tcl          Container image "rsl/api:latest" already present on machine
78s         Normal    Created             pod/api-66c8cd86fc-r5tcl          Created container api
77s         Warning   Unhealthy           pod/api-66c8cd86fc-56nsb          Readiness probe failed: Get "http://10.42.0.66:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
